,Unnamed: 0,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,year built,Private Pool,zip,price
0,"4830 Tain Drive Houston, TX 77084",3.0,1758.0,7150.0,2.0,0,1.0,1978.0,False,77084,221000.0
1,"11906 Glenway Drive Houston, TX 77070",4.0,2958.0,9400.0,3.0,1,2.0,1980.0,False,77070,359500.0
2,"1032 Alexander Street Houston, TX 77008",3.0,1120.0,6000.0,2.0,0,1.0,1936.0,False,77008,825000.0
3,"7638 Ashton Drive Houston, TX 77095",3.0,1714.0,5500.0,2.0,0,1.0,1986.0,False,77095,289995.0
4,"5220 Antha Street Houston, TX 77016",0.0,1470.0,4895.0,0.0,0,1.0,1977.0,False,77016,280000.0
5,"5402 Westover Street Houston, TX 77033",2.0,1180.0,6960.0,1.0,0,1.0,1955.0,False,77033,128000.0
6,"8815 Summerset Meadow Court Houston, TX 77075",3.0,1477.0,4950.0,2.0,0,1.0,2011.0,False,77075,259950.0
7,"9406 Cedar Point Circle Houston, TX 77070",3.0,1476.0,6900.0,2.0,0,1.0,1981.0,False,77070,245000.0
8,"1223 Augusta Drive #10 Houston, TX 77057",2.0,918.0,131907.0,1.0,0,1.0,1983.0,False,77057,149900.0
9,"3505 Sage Road #602 Houston, TX 77056",2.0,1357.0,0.0,2.0,0,1.0,2000.0,False,77056,350000.0
10,"2968 Gessner Road Houston, TX 77080",5.0,2888.0,2804.0,3.0,1,2.0,1972.0,False,77080,277500.0
11,"21511 Rio Villa Drive S Houston, TX 77049",3.0,1632.0,18000.0,2.0,1,2.0,2018.0,False,77049,449900.0
12,"3505 Hutchins Street Houston, TX 77004",3.0,2547.0,1630.0,3.0,1,3.0,2015.0,False,77004,449000.0
13,"6500 Rampart Street #27 Houston, TX 77081",2.0,960.0,68858.0,1.0,0,1.0,1967.0,False,77081,89000.0
14,"11907 Greencreek Circle Houston, TX 77070",4.0,2198.0,8050.0,2.0,1,1.0,1977.0,False,77070,314900.0
15,"14630 Texarkana Street Houston, TX 77015",3.0,1768.0,0.0,2.0,0,1.0,2017.0,False,77015,249900.0
16,"14502 Castle Cove Lane Houston, TX 77044",5.0,3619.0,8168.0,3.0,1,2.0,2006.0,True,77044,485000.0
17,"4713 Antha Street Houston, TX 77016",4.0,2913.0,10200.0,3.0,1,2.0,2022.0,False,77016,509999.0
18,"835 Fisher Street E Houston, TX 77018",3.0,2238.0,0.0,3.0,1,3.0,2022.0,False,77018,495000.0
20,"14902 Walters Road Houston, TX 77068",4.0,2538.0,9840.0,2.0,1,2.0,1978.0,False,77068,299999.0
21,"1910 Athos Street Houston, TX 77012",3.0,1300.0,5500.0,2.0,0,1.0,1940.0,False,77012,247000.0
22,"12518 Laleu Lane Houston, TX 77071",3.0,2435.0,4900.0,2.0,1,2.0,1983.0,False,77071,265500.0
23,"7730 Bradford Street Houston, TX 77087",4.0,1689.0,9750.0,2.0,0,1.0,1950.0,False,77087,295000.0
24,"2811 Creek Manor Drive Houston, TX 77339",4.0,2212.0,10618.0,2.0,1,2.0,1983.0,True,77339,315000.0
26,"4610 Plum Forest Road Houston, TX 77084",5.0,3052.0,6272.0,2.0,1,2.0,2003.0,False,77084,355000.0
27,"8610 Amadwe Street Houston, TX 77051",3.0,1600.0,4400.0,2.0,0,2.0,2022.0,False,77051,212000.0
28,"9910 Spring Shadows Park Circle Houston, TX 77080",3.0,2170.0,2594.0,3.0,1,3.0,2017.0,False,77080,400000.0
29,"16022 Coco Shores Court Houston, TX 77044",3.0,2206.0,8209.0,2.0,1,1.0,2008.0,False,77044,314900.0
30,"13529 Louisville Street Houston, TX 77015",3.0,1198.0,9100.0,1.0,0,1.0,1952.0,False,77015,169000.0
31,"14110 Luthe Road Houston, TX 77039",3.0,1983.0,0.0,2.0,1,1.0,1976.0,False,77039,539900.0
32,"1621 Wheeler Street B Houston, TX 77004",3.0,2274.0,1725.0,3.0,1,3.0,2019.0,False,77004,490000.0
33,"3227 Enclave Lane Houston, TX 77077",4.0,3884.0,5625.0,3.0,1,2.0,2001.0,False,77077,525000.0
34,"910 Cordell Houston, TX 77009",3.0,2400.0,3100.0,2.0,1,2.0,2014.0,False,77009,615000.0
35,"10811 Richmond Avenue #56 Houston, TX 77042",2.0,0.0,0.0,2.0,2,2.0,1980.0,False,77042,1350.0
36,"10211 Sugar Branch Drive #410 Houston, TX 77036",2.0,1002.0,123390.0,1.0,0,1.0,1982.0,False,77036,100000.0
37,"5437 Larkin Street Houston, TX 77007",3.0,1917.0,1567.0,3.0,1,3.0,2014.0,False,77007,460000.0
38,"2300 Old Spanish Trail #2083 Houston, TX 77054",1.0,907.0,121357.0,1.0,0,1.0,1983.0,True,77054,159900.0
39,"14124 Bluebird Lane Houston, TX 77079",5.0,4004.0,8662.0,4.0,1,2.0,1995.0,False,77079,899999.0
40,"3503 Hutchins Street Houston, TX 77004",3.0,2523.0,1760.0,3.0,1,3.0,2016.0,False,77004,449000.0
41,"505 Leverkuhn Street Houston, TX 77007",3.0,2671.0,2119.0,3.0,1,4.0,2022.0,False,77007,865000.0
42,"11503 Gallant Ridge Lane Houston, TX 77082",4.0,3498.0,8447.0,3.0,1,2.0,2000.0,False,77082,740000.0
43,"2219 Place Rebecca Lane A3 Houston, TX 77090",2.0,1254.0,284187.0,2.0,1,2.0,1980.0,False,77090,81000.0
