,bedrooms,Sqft.,lot Sqft.,full baths,half baths,stories,Private Pool,zip,price,zipTier,age
0,3.0,1758.0,7150.0,2.0,0,1.0,False,77084,221000.0,0,45.0
1,4.0,2958.0,9400.0,3.0,1,2.0,False,77070,359500.0,0,43.0
2,3.0,1120.0,6000.0,2.0,0,1.0,False,77008,825000.0,1,87.0
3,3.0,1714.0,5500.0,2.0,0,1.0,False,77095,289995.0,0,37.0
4,2.0,1180.0,6960.0,1.0,0,1.0,False,77033,128000.0,0,68.0
5,3.0,1477.0,4950.0,2.0,0,1.0,False,77075,259950.0,0,12.0
6,3.0,1476.0,6900.0,2.0,0,1.0,False,77070,245000.0,0,42.0
7,2.0,918.0,131907.0,1.0,0,1.0,False,77057,149900.0,1,40.0
8,2.0,1357.0,0.0,2.0,0,1.0,False,77056,350000.0,1,23.0
9,5.0,2888.0,2804.0,3.0,1,2.0,False,77080,277500.0,1,51.0
10,3.0,1632.0,18000.0,2.0,1,2.0,False,77049,449900.0,0,5.0
11,3.0,2547.0,1630.0,3.0,1,3.0,False,77004,449000.0,1,8.0
12,2.0,960.0,68858.0,1.0,0,1.0,False,77081,89000.0,1,56.0
13,4.0,2198.0,8050.0,2.0,1,1.0,False,77070,314900.0,0,46.0
14,3.0,1768.0,0.0,2.0,0,1.0,False,77015,249900.0,0,6.0
15,5.0,3619.0,8168.0,3.0,1,2.0,True,77044,485000.0,0,17.0
16,4.0,2913.0,10200.0,3.0,1,2.0,False,77016,509999.0,0,1.0
17,3.0,2238.0,0.0,3.0,1,3.0,False,77018,495000.0,1,1.0
18,4.0,2538.0,9840.0,2.0,1,2.0,False,77068,299999.0,0,45.0
19,3.0,1300.0,5500.0,2.0,0,1.0,False,77012,247000.0,0,83.0
20,3.0,2435.0,4900.0,2.0,1,2.0,False,77071,265500.0,0,40.0
21,4.0,1689.0,9750.0,2.0,0,1.0,False,77087,295000.0,0,73.0
22,4.0,2212.0,10618.0,2.0,1,2.0,True,77339,315000.0,0,40.0
23,5.0,3052.0,6272.0,2.0,1,2.0,False,77084,355000.0,0,20.0
24,3.0,1600.0,4400.0,2.0,0,2.0,False,77051,212000.0,0,1.0
25,3.0,2170.0,2594.0,3.0,1,3.0,False,77080,400000.0,1,6.0
26,3.0,2206.0,8209.0,2.0,1,1.0,False,77044,314900.0,0,15.0
27,3.0,1198.0,9100.0,1.0,0,1.0,False,77015,169000.0,0,71.0
28,3.0,1983.0,0.0,2.0,1,1.0,False,77039,539900.0,0,47.0
29,3.0,2274.0,1725.0,3.0,1,3.0,False,77004,490000.0,1,4.0
30,4.0,3884.0,5625.0,3.0,1,2.0,False,77077,525000.0,1,22.0
31,3.0,2400.0,3100.0,2.0,1,2.0,False,77009,615000.0,1,9.0
32,2.0,1002.0,123390.0,1.0,0,1.0,False,77036,100000.0,0,41.0
33,3.0,1917.0,1567.0,3.0,1,3.0,False,77007,460000.0,1,9.0
34,1.0,907.0,121357.0,1.0,0,1.0,True,77054,159900.0,0,40.0
35,5.0,4004.0,8662.0,4.0,1,2.0,False,77079,899999.0,1,28.0
36,3.0,2523.0,1760.0,3.0,1,3.0,False,77004,449000.0,1,7.0
37,3.0,2671.0,2119.0,3.0,1,4.0,False,77007,865000.0,1,1.0
38,4.0,3498.0,8447.0,3.0,1,2.0,False,77082,740000.0,0,23.0
39,2.0,1254.0,284187.0,2.0,1,2.0,False,77090,81000.0,0,43.0
40,4.0,2957.0,8640.0,3.0,0,1.0,True,77096,570000.0,1,59.0
41,3.0,2334.0,4145.0,2.0,1,2.0,False,77056,499500.0,1,30.0
42,3.0,1562.0,6726.0,2.0,0,1.0,False,77082,269900.0,0,43.0
43,3.0,908.0,9750.0,1.0,0,1.0,False,77028,115000.0,0,58.0
44,3.0,1434.0,1426.0,2.0,1,2.0,False,77080,349900.0,1,1.0
45,3.0,2750.0,2105.0,3.0,1,3.0,False,77008,449900.0,1,9.0
46,3.0,1698.0,7800.0,2.0,0,1.0,False,77043,310000.0,1,55.0
47,3.0,2515.0,6720.0,2.0,1,2.0,False,77083,364900.0,0,46.0
48,4.0,2660.0,8046.0,2.0,1,2.0,False,77044,389000.0,0,6.0
49,3.0,4418.0,3800.0,3.0,1,3.0,True,77006,1749000.0,1,16.0
50,3.0,1820.0,5341.0,2.0,1,2.0,False,77070,253000.0,0,22.0
51,3.0,1956.0,0.0,2.0,0,1.0,False,77034,232000.0,0,67.0
52,3.0,1788.0,7700.0,2.0,0,1.0,False,77022,370000.0,0,83.0
53,3.0,1863.0,4600.0,2.0,0,1.0,False,77082,227000.0,0,41.0
54,3.0,1124.0,4458.0,2.0,0,1.0,False,77003,349900.0,1,88.0
55,3.0,1748.0,1809.0,2.0,0,2.0,False,77007,349000.0,1,19.0
56,3.0,1102.0,4590.0,1.0,0,1.0,False,77093,179900.0,0,68.0
57,2.0,1028.0,4620.0,1.0,0,1.0,False,77070,185000.0,0,40.0
58,3.0,1264.0,6820.0,2.0,0,1.0,False,77051,199900.0,0,75.0
59,3.0,1510.0,6500.0,2.0,0,1.0,False,77082,239500.0,0,42.0
60,4.0,3642.0,9060.0,4.0,0,2.0,False,77008,1069000.0,1,8.0
61,4.0,1436.0,12217.0,2.0,0,1.0,False,77066,249000.0,0,44.0
62,2.0,1560.0,0.0,2.0,1,2.0,False,77057,335000.0,1,45.0
63,3.0,1207.0,0.0,2.0,0,1.0,False,77075,260140.0,0,1.0
64,2.0,937.0,145495.0,2.0,0,1.0,False,77071,69000.0,0,47.0
65,2.0,1529.0,0.0,2.0,0,1.0,False,77055,424466.0,2,1.0
66,3.0,1650.0,4680.0,2.0,0,1.0,False,77044,250000.0,0,6.0
67,4.0,1619.0,0.0,2.0,1,2.0,False,77075,302970.0,0,1.0
68,2.0,1734.0,74834.0,2.0,1,2.0,False,77057,289900.0,1,42.0
69,4.0,2676.0,5123.0,2.0,1,2.0,False,77075,299000.0,0,20.0
70,3.0,1580.0,6000.0,2.0,0,1.0,False,77071,205000.0,0,57.0
71,2.0,1160.0,7200.0,1.0,0,1.0,False,77027,725000.0,2,75.0
72,4.0,2146.0,6726.0,2.0,1,2.0,False,77062,323000.0,0,35.0
73,3.0,1328.0,6930.0,2.0,0,1.0,False,77086,228000.0,0,47.0
74,4.0,2253.0,8013.0,2.0,0,1.0,False,77044,355000.0,0,3.0
75,3.0,1539.0,1538.0,2.0,0,2.0,False,77080,329900.0,1,5.0
76,3.0,2680.0,9600.0,2.0,1,1.0,False,77096,515000.0,1,66.0
77,3.0,1620.0,6250.0,2.0,0,1.0,False,77023,399999.0,0,81.0
78,3.0,1815.0,2039.0,3.0,1,3.0,False,77091,400000.0,0,1.0
79,3.0,1182.0,9012.0,2.0,0,1.0,False,77087,265000.0,0,73.0
80,3.0,1702.0,397555.0,2.0,1,2.0,False,77057,285000.0,1,45.0
81,3.0,1804.0,4235.0,2.0,0,1.0,False,77034,272000.0,0,15.0
82,4.0,2509.0,10370.0,2.0,1,1.0,False,77035,429000.0,0,58.0
83,3.0,3821.0,5057.0,3.0,0,2.0,False,77007,1250000.0,1,28.0
84,3.0,2620.0,7800.0,2.0,0,1.0,False,77095,350000.0,0,28.0
85,3.0,1391.0,7560.0,2.0,0,1.0,False,77021,335000.0,0,83.0
86,4.0,2705.0,6349.0,2.0,1,2.0,False,77089,334900.0,0,30.0
87,4.0,6001.0,7800.0,4.0,1,2.0,False,77098,2650000.0,4,9.0
88,2.0,1747.0,1447.0,2.0,1,2.0,False,77030,299000.0,2,43.0
89,5.0,9816.0,18080.0,7.0,2,3.0,True,77056,3650000.0,1,19.0
90,3.0,3888.0,8282.0,3.0,1,2.0,False,77056,1250000.0,1,27.0
91,4.0,5095.0,14500.0,3.0,0,1.0,False,77017,500000.0,0,63.0
92,2.0,1142.0,6250.0,1.0,0,1.0,False,77009,795000.0,1,98.0
93,5.0,3651.0,8477.0,3.0,0,2.0,False,77095,439000.0,0,20.0
94,3.0,1776.0,5008.0,2.0,0,1.0,False,77084,300000.0,0,17.0
95,3.0,1927.0,2500.0,2.0,1,2.0,False,77009,449000.0,1,1.0
96,4.0,1815.0,5063.0,2.0,0,1.0,False,77073,253600.0,0,19.0
97,3.0,2093.0,8866.0,2.0,1,2.0,False,77066,244000.0,0,39.0
98,5.0,4084.0,11159.0,3.0,1,2.0,False,77068,569000.0,0,24.0
99,1.0,796.0,140798.0,1.0,0,1.0,False,77077,110000.0,1,40.0
100,6.0,4539.0,11545.0,3.0,1,2.0,False,77044,615000.0,0,9.0
101,5.0,2168.0,7475.0,3.0,1,2.0,False,77084,275000.0,0,50.0
102,4.0,2370.0,6644.0,2.0,0,1.0,False,77066,319000.0,0,25.0
103,3.0,1383.0,7590.0,2.0,0,1.0,False,77015,215000.0,0,44.0
104,3.0,2013.0,6686.0,2.0,0,1.0,False,77089,389500.0,0,21.0
105,3.0,1534.0,6420.0,2.0,0,1.0,False,77015,199900.0,0,44.0
106,4.0,4132.0,5000.0,4.0,0,2.0,False,77009,1655000.0,1,1.0
107,3.0,2766.0,7665.0,2.0,0,2.0,False,77025,729900.0,1,64.0
108,4.0,1853.0,6184.0,2.0,0,1.0,False,77083,285000.0,0,22.0
109,3.0,2353.0,0.0,2.0,1,2.0,False,77004,575000.0,1,1.0
110,3.0,2313.0,2450.0,2.0,1,2.0,False,77007,435000.0,1,21.0
111,4.0,2160.0,7245.0,2.0,1,2.0,False,77064,245000.0,0,44.0
112,3.0,2304.0,10471.0,2.0,0,1.0,False,77096,599900.0,1,63.0
113,4.0,2121.0,7560.0,3.0,0,1.0,True,77035,399000.0,0,64.0
114,2.0,1462.0,827.0,2.0,1,3.0,False,77080,375000.0,1,1.0
115,3.0,2062.0,3363.0,2.0,1,2.0,False,77073,266000.0,0,7.0
116,4.0,1802.0,2614.0,2.0,1,2.0,False,77045,359000.0,0,1.0
117,3.0,1734.0,6325.0,2.0,0,1.0,False,77083,274900.0,0,41.0
118,3.0,1428.0,6600.0,2.0,0,1.0,True,77598,275000.0,0,40.0
119,4.0,2156.0,8800.0,2.0,0,1.0,False,77080,345000.0,1,57.0
120,2.0,1529.0,0.0,2.0,0,1.0,False,77055,415017.0,2,1.0
121,3.0,1204.0,11066.0,1.0,0,1.0,False,77061,110000.0,0,71.0
122,2.0,1306.0,5000.0,2.0,0,1.0,False,77009,524000.0,1,93.0
123,4.0,3143.0,9600.0,3.0,1,2.0,True,77346,649900.0,1,9.0
124,4.0,2435.0,7700.0,2.0,1,2.0,False,77043,597900.0,1,52.0
125,3.0,2657.0,0.0,2.0,1,2.0,False,77066,427650.0,0,1.0
126,3.0,2332.0,3872.0,2.0,1,2.0,False,77080,575000.0,1,1.0
127,3.0,1028.0,5009.0,2.0,0,1.0,False,77029,229990.0,0,1.0
128,3.0,1298.0,4704.0,2.0,0,1.0,False,77028,238990.0,0,1.0
129,3.0,1090.0,4000.0,2.0,0,1.0,False,77028,209990.0,0,1.0
130,3.0,2410.0,2874.0,2.0,1,2.0,False,77056,535000.0,1,27.0
131,5.0,4244.0,26459.0,4.0,1,2.0,True,77345,899700.0,1,23.0
132,2.0,642.0,2500.0,1.0,0,1.0,False,77011,140000.0,0,93.0
133,6.0,1400.0,11700.0,4.0,0,1.0,False,77026,285000.0,0,88.0
134,4.0,2931.0,9720.0,3.0,1,2.0,False,77094,469000.0,1,26.0
135,1.0,570.0,13378.0,1.0,0,1.0,False,77030,165000.0,2,63.0
136,3.0,1355.0,5055.0,2.0,0,1.0,False,77053,185000.0,0,18.0
137,2.0,1224.0,324898.0,2.0,0,1.0,False,77030,195000.0,2,46.0
138,3.0,1815.0,1682.0,3.0,1,3.0,False,77091,394900.0,0,1.0
139,3.0,2140.0,1506.0,3.0,0,3.0,False,77055,439990.0,2,6.0
140,3.0,4275.0,6562.0,4.0,0,2.0,False,77007,1275000.0,1,32.0
141,3.0,1636.0,3408.0,2.0,1,2.0,False,77014,225000.0,0,21.0
142,4.0,4459.0,9600.0,3.0,1,2.0,True,77082,1235000.0,0,16.0
143,2.0,1540.0,3301.0,2.0,1,2.0,False,77095,222000.0,0,19.0
144,5.0,6013.0,21569.0,4.0,1,2.0,True,77082,1950000.0,0,23.0
145,1.0,754.0,152022.0,1.0,0,1.0,False,77036,79999.0,0,42.0
146,2.0,985.0,6490.0,1.0,0,1.0,False,77041,199900.0,1,43.0
147,4.0,2352.0,4598.0,2.0,1,2.0,False,77066,298888.0,0,4.0
148,4.0,2789.0,8640.0,3.0,0,2.0,True,77043,550000.0,1,61.0
149,3.0,2945.0,1850.0,3.0,1,3.0,False,77008,469999.0,1,17.0
150,3.0,1597.0,4600.0,2.0,0,1.0,False,77044,242500.0,0,4.0
151,3.0,2170.0,6300.0,2.0,1,2.0,False,77066,253999.0,0,40.0
152,2.0,1381.0,6000.0,2.0,0,1.0,False,77065,239900.0,0,41.0
153,5.0,9846.0,18470.0,5.0,3,3.0,True,77056,4100000.0,1,17.0
154,3.0,1426.0,7920.0,2.0,0,1.0,False,77035,315000.0,0,58.0
155,3.0,1132.0,6300.0,1.0,0,1.0,False,77093,209000.0,0,78.0
156,4.0,3147.0,3438.0,3.0,1,3.0,True,77030,830000.0,2,4.0
157,4.0,1335.0,4726.0,2.0,0,1.0,False,77064,249999.0,0,40.0
158,3.0,3191.0,6112.0,2.0,1,2.0,False,77018,775000.0,1,15.0
159,3.0,1967.0,1453.0,3.0,1,4.0,False,77020,430000.0,0,5.0
160,4.0,2467.0,9720.0,2.0,1,2.0,True,77090,314900.0,0,51.0
161,3.0,2068.0,903156.0,2.0,1,2.0,False,77077,267000.0,1,46.0
162,4.0,3067.0,8760.0,2.0,0,1.0,False,77096,450000.0,1,60.0
163,4.0,2003.0,2500.0,3.0,0,2.0,False,77021,369900.0,0,1.0
164,5.0,10284.0,0.0,6.0,2,2.0,True,77024,6495000.0,3,16.0
165,4.0,2092.0,5029.0,2.0,1,2.0,False,77073,279000.0,0,7.0
166,4.0,3265.0,10154.0,3.0,0,2.0,True,77041,635000.0,1,27.0
167,3.0,2076.0,9000.0,2.0,0,1.0,False,77096,399000.0,1,63.0
168,3.0,1927.0,2500.0,2.0,1,2.0,False,77009,449000.0,1,1.0
169,5.0,4107.0,6300.0,3.0,1,2.0,False,77064,449999.0,0,24.0
170,5.0,3704.0,7737.0,3.0,1,2.0,False,77059,600000.0,1,4.0
171,3.0,1844.0,8400.0,2.0,0,1.0,False,77025,460000.0,1,68.0
